Recipient,Category,Grant,FY14
Hebron,Capital Projects/Transportation,LoCIP,72028
Hebron,Capital Projects/Transportation,Town Aid Road,242180.96
Hebron,Capital Projects/Transportation,Bus Operations,36252
Hamden,Education,Family Resource Center Program,209000
Hamden,Education,Child Nutrition State Match,27690
Hamden,Education,School Construction,1698927.7
Hamden,Education,OPEN Choice,44585
Hamden,Education,School Breakfast,26922
Hamden,Education,Magnet Schools,23400
Hamden,Education,Bilingual Education,5701
Hamden,Education,Excess Cost- Student Based,1605947
Hamden,Education,Education Cost Sharing,25702557
Hamden,Education,Public School Transportation,571101
Hamden,Education,Nonpublic School Transportation,165394
Hamden,Education,Youth Service Bureaus,45134
Hamden,Education,Adult Education,258444
Hamden,Education,Child Care Services,134579.25
Hamden,Public Health/Social Services,Healthy Foods Initiative,55834
Hamden,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,149844
Hamden,Property Tax,Colleges &amp; Hospitals PILOT,2724546.13
Hamden,Property Tax,Elderly Circuit Breaker,393456.44
Hamden,Property Tax,State Property PILOT,899598.05
Hamden,Property Tax,Veterans' Exemption,138603.48
Hamden,Property Tax,Disability Exemption,9408.81
Hamden,Property Tax,Pequot Grants,933649.75
Hamden,Property Tax,Elderly Freeze,4000
Hamden,Property Tax,Grants For Municipal Projects,269631
Hamden,Capital Projects/Transportation,LoCIP,423130
Hamden,Capital Projects/Transportation,Town Aid Road,669782.43
Hamden,Capital Projects/Transportation,Distressed Municipalities,8162.61
Hamden,Capital Projects/Transportation,Urban Action Grants,180000
Enfield,Education,Family Resource Center Program,104500
Enfield,Education,Child Nutrition State Match,26610
Enfield,Education,School Construction,785014
Enfield,Education,OPEN Choice,159344
Enfield,Education,School Breakfast,23947
Enfield,Education,After School Program,139555
Enfield,Education,Excess Cost- Student Based,1421970
Enfield,Education,Education Cost Sharing,28953131
Enfield,Education,Public School Transportation,337573
Enfield,Education,Nonpublic School Transportation,126849
Enfield,Education,Youth Service Bureaus,42177
Enfield,Education,Adult Education,106599
Enfield,Education,Child Care Services,381404.91
Enfield,Property Tax,Colleges &amp; Hospitals PILOT,23312.46
Enfield,Property Tax,Elderly Circuit Breaker,337137.24
Enfield,Property Tax,State Property PILOT,1144957.61
Enfield,Property Tax,Veterans' Exemption,41922.82
Enfield,Property Tax,Disability Exemption,5389.06
Enfield,Property Tax,Pequot Grants,1322294.89
Enfield,Property Tax,Elderly Freeze,2000
Enfield,Property Tax,DECD PILOT Grant,88960
Enfield,Property Tax,Grants For Municipal Projects,265706.81
Enfield,Property Tax,Municipal Aid Adjustment,517.66
Enfield,Capital Projects/Transportation,LoCIP,315668
Enfield,Capital Projects/Transportation,Town Aid Road,536209.21
Enfield,Capital Projects/Transportation,Bus Operations,66654.5
Enfield,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,33318
East Windsor,Education,Family Resource Center Program,104500
East Windsor,Education,Child Nutrition State Match,5844
East Windsor,Education,School Construction,388065.69
East Windsor,Education,OPEN Choice,420695
East Windsor,Education,School Breakfast,9510
East Windsor,Education,Excess Cost- Student Based,239745
East Windsor,Education,Education Cost Sharing,5690489
East Windsor,Education,Public School Transportation,90932
East Windsor,Education,Adult Education,15743
East Windsor,Public Health/Social Services,Healthy Foods Initiative,11961
East Windsor,Property Tax,Elderly Circuit Breaker,77824.27
East Windsor,Property Tax,State Property PILOT,85311.37
East Windsor,Property Tax,Veterans' Exemption,6733.07
East Windsor,Property Tax,Disability Exemption,1860.28
East Windsor,Property Tax,Pequot Grants,43507.48
East Windsor,Property Tax,Grants For Municipal Projects,277470
East Windsor,Capital Projects/Transportation,LoCIP,77337
East Windsor,Capital Projects/Transportation,Town Aid Road,265770.32
East Windsor,Capital Projects/Transportation,Urban Action Grants,0
East Haven,Education,Family Resource Center Program,104500
East Haven,Education,Child Nutrition State Match,13731
East Haven,Education,School Construction,1776688.96
East Haven,Education,OPEN Choice,33000
East Haven,Education,School Breakfast,31839
East Haven,Education,Magnet Schools,3900
East Haven,Education,Bilingual Education,2000
East Haven,Education,Excess Cost- Student Based,1078930
East Haven,Education,Education Cost Sharing,19073125
East Haven,Education,Public School Transportation,235306
East Haven,Education,Nonpublic School Transportation,33051
East Haven,Education,Youth Service Bureaus,28381
East Haven,Education,Adult Education,481091
East Haven,Public Health/Social Services,Healthy Foods Initiative,28103
East Haven,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,34044
East Haven,Public Health/Social Services,School-Based Health Centers,30951
East Haven,Property Tax,Elderly Circuit Breaker,312684.61
East Haven,Property Tax,State Property PILOT,351907.11
East Haven,Property Tax,Veterans' Exemption,82754.79
East Haven,Property Tax,Disability Exemption,5126.56
East Haven,Property Tax,Pequot Grants,165781.28
East Haven,Property Tax,Elderly Freeze,8000
East Haven,Property Tax,Grants For Municipal Projects,40912
East Haven,Capital Projects/Transportation,LoCIP,223273
East Haven,Capital Projects/Transportation,Town Aid Road,403741.47
East Haven,Capital Projects/Transportation,Urban Action Grants,0
East Hartford,Education,Family Resource Center Program,313500
East Hartford,Education,Child Nutrition State Match,48913
East Hartford,Education,School Construction,58400
East Hartford,Education,School Breakfast,56243
East Hartford,Education,After School Program,188251
East Hartford,Education,Magnet Schools,1605642
East Hartford,Education,Bilingual Education,36804
East Hartford,Education,Excess Cost- Student Based,1710669
East Hartford,Education,Education Cost Sharing,46889057
East Hartford,Education,Public School Transportation,477440
East Hartford,Education,Nonpublic School Transportation,45686
East Hartford,Education,Priority School Districts,1204833
East Hartford,Education,Extended School Hours,155964
East Hartford,Education,School Accountability- Summer School,175902
East Hartford,Education,Youth Service Bureaus,54647
East Hartford,Education,Adult Education,207431
East Hartford,Public Health/Social Services,Healthy Foods Initiative,96379
East Hartford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,31630
East Hartford,Public Health/Social Services,Local and District Departments of Health,60525.74
East Hartford,Public Health/Social Services,Community Services,1528
East Hartford,Public Health/Social Services,Early Intervention,525750.52
East Hartford,Property Tax,Colleges &amp; Hospitals PILOT,482178.23
East Hartford,Property Tax,Elderly Circuit Breaker,366445.36
East Hartford,Property Tax,State Property PILOT,716788.2
East Hartford,Property Tax,Veterans' Exemption,43734.96
East Hartford,Property Tax,Disability Exemption,11648.11
East Hartford,Property Tax,Pequot Grants,306328.85
East Hartford,Property Tax,Elderly Freeze,834
East Hartford,Property Tax,DECD PILOT Grant,45404
East Hartford,Property Tax,Grants For Municipal Projects,4182901
East Hartford,Capital Projects/Transportation,LoCIP,454375
East Hartford,Capital Projects/Transportation,Town Aid Road,588529.96
East Hartford,Capital Projects/Transportation,Distressed Municipalities,96793.94
East Hartford,Capital Projects/Transportation,Urban Action Grants,0
East Hartford,Capital Projects/Transportation,Bus Operations,43553
Branford,Education,Family Resource Center Program,104500
Branford,Education,Child Nutrition State Match,11006
Branford,Education,School Construction,739962.93
Branford,Education,OPEN Choice,114579
Branford,Education,School Breakfast,16206
Branford,Education,Bilingual Education,2200
Branford,Education,Excess Cost- Student Based,642926
Branford,Education,Education Cost Sharing,1856796
Branford,Education,Public School Transportation,77278
Branford,Education,Nonpublic School Transportation,3432
Branford,Education,Youth Service Bureaus,46113
Branford,Education,Adult Education,23509
Branford,Education,Child Care Services,203970.67
Branford,Public Health/Social Services,Healthy Foods Initiative,22527
Branford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,6429
Branford,Public Health/Social Services,School-Based Health Centers,342387
Branford,Property Tax,Colleges &amp; Hospitals PILOT,113085.82
Branford,Property Tax,Elderly Circuit Breaker,216565.16
Branford,Property Tax,State Property PILOT,53088.75
Branford,Property Tax,Veterans' Exemption,27198.58
Branford,Property Tax,Disability Exemption,2750.67
Branford,Property Tax,Pequot Grants,57719.93
Branford,Property Tax,Elderly Freeze,8000
Branford,Property Tax,Grants For Municipal Projects,352546
Branford,Property Tax,Municipal Aid Adjustment,25000
Branford,Capital Projects/Transportation,LoCIP,157679
Branford,Capital Projects/Transportation,Town Aid Road,399554.08
Branford,Capital Projects/Transportation,Urban Action Grants,0
Bloomfield,Education,Family Resource Center Program,104500
Bloomfield,Education,Child Nutrition State Match,15314
Bloomfield,Education,School Construction,1053020
Bloomfield,Education,School Breakfast,20032
Bloomfield,Education,After School Program,282857
Bloomfield,Education,Magnet Schools,4647224
Bloomfield,Education,Excess Cost- Student Based,175430
Bloomfield,Education,Education Cost Sharing,5602743
Bloomfield,Education,Public School Transportation,106912
Bloomfield,Education,Youth Service Bureaus,22180
Bloomfield,Education,Adult Education,20010
Bloomfield,Education,Vocational Agriculture,257231
Bloomfield,Education,Child Care Services,250179.38
Bloomfield,Public Health/Social Services,Healthy Foods Initiative,31344
Bloomfield,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,49613
Bloomfield,Property Tax,Colleges &amp; Hospitals PILOT,200565.34
Bloomfield,Property Tax,Elderly Circuit Breaker,137463.85
Bloomfield,Property Tax,State Property PILOT,119017.14
Bloomfield,Property Tax,Veterans' Exemption,11483.25
Bloomfield,Property Tax,Disability Exemption,1641.65
Bloomfield,Property Tax,Pequot Grants,156845.91
Bloomfield,Property Tax,DECD Tax Abatement,49098
Bloomfield,Property Tax,Grants For Municipal Projects,1700991.09
Bloomfield,Capital Projects/Transportation,LoCIP,125404
Bloomfield,Capital Projects/Transportation,Town Aid Road,336688.93
Bloomfield,Capital Projects/Transportation,Urban Action Grants,600000
Woodstock,Education,Child Nutrition State Match,3778
Woodstock,Education,School Construction,48355
Woodstock,Education,Magnet Schools,6500
Woodstock,Education,Excess Cost- Student Based,262674
Woodstock,Education,Education Cost Sharing,5453432
Woodstock,Education,Public School Transportation,56923
Woodstock,Education,Adult Education,8565
Woodstock,Public Health/Social Services,Healthy Foods Initiative,7733
Woodstock,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),450000
Woodstock,Capital Projects/Transportation,LoCIP,84060
Woodstock,Capital Projects/Transportation,Town Aid Road,379886.43
Woodstock,Property Tax,Elderly Circuit Breaker,46552.85
Woodstock,Property Tax,State Property PILOT,8633.74
Woodstock,Property Tax,Veterans' Exemption,6986.88
Woodstock,Property Tax,Disability Exemption,942.24
Woodstock,Property Tax,Pequot Grants,32499.98
Woodstock,Property Tax,Grants For Municipal Projects,64675
Woodbridge,Education,Child Nutrition State Match,2301
Woodbridge,Education,School Construction,84027.65
Woodbridge,Education,OPEN Choice,38820
Woodbridge,Education,Excess Cost- Student Based,28460
Woodbridge,Education,Education Cost Sharing,729340
Woodbridge,Education,Public School Transportation,2407
Woodbridge,Education,Nonpublic School Transportation,363
Woodbridge,Education,Youth Service Bureaus,18937
Woodbridge,Public Health/Social Services,Healthy Foods Initiative,4711
Woodbridge,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,4398
Woodbridge,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Woodbridge,Capital Projects/Transportation,LoCIP,64877
Woodbridge,Capital Projects/Transportation,Town Aid Road,241267.31
Woodbridge,Capital Projects/Transportation,Urban Action Grants,200000
Woodbridge,Property Tax,Colleges &amp; Hospitals PILOT,93.72
Woodbridge,Property Tax,Elderly Circuit Breaker,40853.72
Woodbridge,Property Tax,State Property PILOT,16126.32
Woodbridge,Property Tax,Veterans' Exemption,6187.67
Woodbridge,Property Tax,Disability Exemption,872.31
Woodbridge,Property Tax,Pequot Grants,11275.98
Woodbridge,Property Tax,Grants For Municipal Projects,28140
Wolcott,Education,Child Nutrition State Match,12749
Wolcott,Education,School Construction,787772.31
Wolcott,Education,School Breakfast,15545
Wolcott,Education,Magnet Schools,226200
Wolcott,Education,Excess Cost- Student Based,623462
Wolcott,Education,Education Cost Sharing,13691399
Wolcott,Education,Public School Transportation,153373
Wolcott,Education,Adult Education,4421
Wolcott,Public Health/Social Services,Healthy Foods Initiative,26094
Wolcott,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),350000
Wolcott,Capital Projects/Transportation,LoCIP,114583
Wolcott,Capital Projects/Transportation,Town Aid Road,301986.58
Wolcott,Capital Projects/Transportation,Urban Action Grants,0
Wolcott,Property Tax,Elderly Circuit Breaker,159974.37
Wolcott,Property Tax,State Property PILOT,1936.38
Wolcott,Property Tax,Veterans' Exemption,28255.57
Wolcott,Property Tax,Disability Exemption,3036.18
Wolcott,Property Tax,Pequot Grants,64319.74
Wolcott,Property Tax,Elderly Freeze,2000
Wolcott,Property Tax,Grants For Municipal Projects,220938
Windsor Locks,Education,Child Nutrition State Match,8744
Windsor Locks,Education,School Construction,592288.7
Windsor Locks,Education,OPEN Choice,390838
Windsor Locks,Education,School Breakfast,12662
Windsor Locks,Education,Excess Cost- Student Based,377460
Windsor Locks,Education,Education Cost Sharing,5028550
Windsor Locks,Education,Public School Transportation,65946
Windsor Locks,Education,Youth Service Bureaus,18937
Windsor Locks,Education,Adult Education,22368
Windsor Locks,Public Health/Social Services,Healthy Foods Initiative,17896
Windsor Locks,Property Tax,Elderly Circuit Breaker,125904.47
Windsor Locks,Property Tax,State Property PILOT,3899299.99
Windsor Locks,Property Tax,Veterans' Exemption,14460.45
Windsor Locks,Property Tax,Disability Exemption,367.56
Windsor Locks,Property Tax,Pequot Grants,442606.87
Windsor Locks,Property Tax,Grants For Municipal Projects,1794444
Windsor Locks,Capital Projects/Transportation,LoCIP,79778
Windsor Locks,Capital Projects/Transportation,Town Aid Road,263439.19
Windsor Locks,Capital Projects/Transportation,Bus Operations,10776
Wilton,Education,Child Nutrition State Match,6809
Wilton,Education,School Construction,339728.51
Wilton,Education,Magnet Schools,9100
Wilton,Education,Excess Cost- Student Based,1016410
Wilton,Education,Education Cost Sharing,1582324
Wilton,Education,Public School Transportation,-355
Wilton,Education,Youth Service Bureaus,20171
Wilton,Education,Adult Education,1059
Wilton,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Wilton,Capital Projects/Transportation,LoCIP,112983
Wilton,Capital Projects/Transportation,Town Aid Road,313129.96
Wilton,Capital Projects/Transportation,Urban Action Grants,0
Wilton,Capital Projects/Transportation,Bus Operations,25665
Wilton,Property Tax,Elderly Circuit Breaker,60370.26
Wilton,Property Tax,State Property PILOT,93450.55
Wilton,Property Tax,Veterans' Exemption,4373.27
Wilton,Property Tax,Disability Exemption,366.38
Wilton,Property Tax,Pequot Grants,9012.64
Wilton,Property Tax,Grants For Municipal Projects,288788
Wilton,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,3311
Willington,Education,Child Nutrition State Match,2383
Willington,Education,Excess Cost- Student Based,39993
Willington,Education,Education Cost Sharing,3714824
Willington,Education,Public School Transportation,52681
Willington,Education,Youth Service Bureaus,17259
Willington,Public Health/Social Services,Healthy Foods Initiative,4877
Willington,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Willington,Capital Projects/Transportation,LoCIP,60224
Willington,Capital Projects/Transportation,Town Aid Road,258023.29
Willington,Property Tax,Elderly Circuit Breaker,15631.6
Willington,Property Tax,State Property PILOT,42153.5
Willington,Property Tax,Veterans' Exemption,792.51
Willington,Property Tax,Disability Exemption,537.01
Willington,Property Tax,Pequot Grants,25916.61
Willington,Property Tax,Grants For Municipal Projects,18827
Wethersfield,Education,Child Nutrition State Match,14077
Wethersfield,Education,School Construction,2410281.5
Wethersfield,Education,OPEN Choice,232744
Wethersfield,Education,School Breakfast,21463
Wethersfield,Education,Magnet Schools,2000
Wethersfield,Education,Excess Cost- Student Based,1484892
Wethersfield,Education,Education Cost Sharing,8438499
Wethersfield,Education,Public School Transportation,92584
Wethersfield,Education,Nonpublic School Transportation,37883
Wethersfield,Education,Youth Service Bureaus,27978
Wethersfield,Education,Adult Education,30785
Wethersfield,Public Health/Social Services,Healthy Foods Initiative,27638
Wethersfield,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,26604
Wethersfield,Public Health/Social Services,Community Services,1119
Wethersfield,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),450000
Wethersfield,Capital Projects/Transportation,LoCIP,188620
Wethersfield,Capital Projects/Transportation,Town Aid Road,403402.06
Wethersfield,Capital Projects/Transportation,Urban Action Grants,0
Wethersfield,Capital Projects/Transportation,Bus Operations,89436
Wethersfield,Property Tax,Colleges &amp; Hospitals PILOT,8653.78
Wethersfield,Property Tax,Elderly Circuit Breaker,239211.52
Wethersfield,Property Tax,State Property PILOT,223496.44
Wethersfield,Property Tax,Veterans' Exemption,42027.74
Wethersfield,Property Tax,Disability Exemption,3375.51
Wethersfield,Property Tax,Pequot Grants,217909.86
Wethersfield,Property Tax,DECD PILOT Grant,21316
Wethersfield,Property Tax,Grants For Municipal Projects,20489
Westport,Education,Child Nutrition State Match,17570
Westport,Education,School Construction,290111.47
Westport,Education,OPEN Choice,155667
Westport,Education,Excess Cost- Student Based,635100
Westport,Education,Education Cost Sharing,1993183
Westport,Education,Public School Transportation,290
Westport,Education,Youth Service Bureaus,28528
Westport,Education,Adult Education,1595
Westport,Property Tax,Colleges &amp; Hospitals PILOT,176737.65
Westport,Property Tax,Elderly Circuit Breaker,94409.56
Westport,Property Tax,State Property PILOT,763031.96
Westport,Property Tax,Veterans' Exemption,12771
Westport,Property Tax,Disability Exemption,350.26
Westport,Property Tax,Pequot Grants,26667.54
Westport,Property Tax,Grants For Municipal Projects,0
Westport,Property Tax,Municipal Aid Adjustment,18240.93
Westport,Capital Projects/Transportation,LoCIP,144901
Westport,Capital Projects/Transportation,Town Aid Road,382031.19
Westport,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,4464
Weston,Education,Child Nutrition State Match,9204
Weston,Education,School Construction,108149
Weston,Education,OPEN Choice,45712
Weston,Education,Excess Cost- Student Based,720216
Weston,Education,Education Cost Sharing,955781
Weston,Education,Public School Transportation,290
Weston,Education,Youth Service Bureaus,18937
Weston,Education,Adult Education,709
Weston,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),225000
Weston,Capital Projects/Transportation,LoCIP,65365
Weston,Capital Projects/Transportation,Town Aid Road,251144.83
Weston,Capital Projects/Transportation,Bus Operations,15415.5
Weston,Property Tax,Elderly Circuit Breaker,17901.34
Weston,Property Tax,State Property PILOT,6173.28
Weston,Property Tax,Veterans' Exemption,1233.4
Weston,Property Tax,Disability Exemption,252.58
Weston,Property Tax,Pequot Grants,7238.68
Weston,Property Tax,Grants For Municipal Projects,426
Westbrook,Education,Child Nutrition State Match,2440
Westbrook,Education,School Breakfast,6007
Westbrook,Education,Excess Cost- Student Based,313131
Westbrook,Education,Education Cost Sharing,452108
Westbrook,Education,Public School Transportation,5379
Westbrook,Education,Youth Service Bureaus,17259
Westbrook,Education,Adult Education,1665
Westbrook,Public Health/Social Services,Healthy Foods Initiative,4995
Westbrook,Property Tax,Elderly Circuit Breaker,46319.97
Westbrook,Property Tax,State Property PILOT,28183.53
Westbrook,Property Tax,Veterans' Exemption,13326.9
Westbrook,Property Tax,Disability Exemption,573.03
Westbrook,Property Tax,Pequot Grants,14941.75
Westbrook,Property Tax,Grants For Municipal Projects,251494
Westbrook,Capital Projects/Transportation,LoCIP,42582
Westbrook,Capital Projects/Transportation,Town Aid Road,217457.34
Westbrook,Capital Projects/Transportation,Urban Action Grants,0
West Hartford,Education,Child Nutrition State Match,39070
West Hartford,Education,School Construction,174885.79
West Hartford,Education,OPEN Choice,437694
West Hartford,Education,School Breakfast,34797
West Hartford,Education,Bilingual Education,5701
West Hartford,Education,Excess Cost- Student Based,3643716
West Hartford,Education,Education Cost Sharing,17568474
West Hartford,Education,Public School Transportation,278606
West Hartford,Education,Nonpublic School Transportation,105076
West Hartford,Education,Youth Service Bureaus,42898
West Hartford,Education,Adult Education,145631
West Hartford,Public Health/Social Services,Healthy Foods Initiative,79757
West Hartford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,589747
West Hartford,Property Tax,Colleges &amp; Hospitals PILOT,1031732.31
West Hartford,Property Tax,Elderly Circuit Breaker,274671.63
West Hartford,Property Tax,State Property PILOT,275698.93
West Hartford,Property Tax,Veterans' Exemption,69849.45
West Hartford,Property Tax,Disability Exemption,4539.75
West Hartford,Property Tax,Pequot Grants,242387.06
West Hartford,Property Tax,Elderly Freeze,2000
West Hartford,Property Tax,Grants For Municipal Projects,757839
West Hartford,Capital Projects/Transportation,LoCIP,459237
West Hartford,Capital Projects/Transportation,Town Aid Road,689310.95
West Hartford,Capital Projects/Transportation,Urban Action Grants,0
West Hartford,Capital Projects/Transportation,Bus Operations,85882.5
Watertown,Education,Child Nutrition State Match,11660
Watertown,Education,School Construction,691466.99
Watertown,Education,School Breakfast,25442
Watertown,Education,Bilingual Education,2100
Watertown,Education,Excess Cost- Student Based,803458
Watertown,Education,Education Cost Sharing,11869404
Watertown,Education,Public School Transportation,152153
Watertown,Education,Nonpublic School Transportation,29921
Watertown,Education,Youth Service Bureaus,20171
Watertown,Education,Adult Education,5092
Watertown,Public Health/Social Services,Healthy Foods Initiative,23866
Watertown,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,34564
Watertown,Property Tax,Elderly Circuit Breaker,194974.14
Watertown,Property Tax,State Property PILOT,31976.08
Watertown,Property Tax,Veterans' Exemption,27808.1
Watertown,Property Tax,Disability Exemption,1635.84
Watertown,Property Tax,Pequot Grants,82610.22
Watertown,Property Tax,Elderly Freeze,1334
Watertown,Property Tax,Grants For Municipal Projects,604064
Watertown,Capital Projects/Transportation,LoCIP,157820
Watertown,Capital Projects/Transportation,Town Aid Road,354463.21
Watertown,Capital Projects/Transportation,Urban Action Grants,0
Waterford,Education,Child Nutrition State Match,12332
Waterford,Education,School Construction,2304860
Waterford,Education,OPEN Choice,3000
Waterford,Education,School Breakfast,16270
Waterford,Education,Magnet Schools,111800
Waterford,Education,Excess Cost- Student Based,802756
Waterford,Education,Education Cost Sharing,1449981
Waterford,Education,Public School Transportation,29958
Waterford,Education,Youth Service Bureaus,20171
Waterford,Education,Adult Education,12208
Waterford,Public Health/Social Services,Healthy Foods Initiative,25242
Waterford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,7483
Waterford,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Waterford,Capital Projects/Transportation,LoCIP,119089
Waterford,Capital Projects/Transportation,Town Aid Road,321859.31
Waterford,Property Tax,Colleges &amp; Hospitals PILOT,46015.19
Waterford,Property Tax,Elderly Circuit Breaker,182304.99
Waterford,Property Tax,State Property PILOT,367117.15
Waterford,Property Tax,Veterans' Exemption,12223.54
Waterford,Property Tax,Disability Exemption,2111.89
Waterford,Property Tax,Pequot Grants,46896.59
Waterford,Property Tax,Elderly Freeze,2000
Waterford,Property Tax,Grants For Municipal Projects,32217
Wallingford,Education,Child Nutrition State Match,18476
Wallingford,Education,School Construction,6752329
Wallingford,Education,OPEN Choice,122404
Wallingford,Education,School Breakfast,4512
Wallingford,Education,Magnet Schools,117000
Wallingford,Education,Bilingual Education,10701
Wallingford,Education,Excess Cost- Student Based,1903338
Wallingford,Education,Education Cost Sharing,21711598
Wallingford,Education,Public School Transportation,263546
Wallingford,Education,Nonpublic School Transportation,18130
Wallingford,Education,Youth Service Bureaus,36695
Wallingford,Education,Adult Education,255903
Wallingford,Education,Vocational Agriculture,714917
Wallingford,Education,Child Care Services,245920.98
Wallingford,Property Tax,Colleges &amp; Hospitals PILOT,339817.62
Wallingford,Property Tax,Elderly Circuit Breaker,281265.58
Wallingford,Property Tax,State Property PILOT,50522.5
Wallingford,Property Tax,Veterans' Exemption,44457.48
Wallingford,Property Tax,Disability Exemption,4127.31
Wallingford,Property Tax,Pequot Grants,174548.39
Wallingford,Property Tax,Elderly Freeze,2000
Wallingford,Property Tax,Grants For Municipal Projects,1832519
Wallingford,Capital Projects/Transportation,LoCIP,290262
Wallingford,Capital Projects/Transportation,Town Aid Road,542292.78
Wallingford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,27789
Voluntown,Education,Child Nutrition State Match,816
Voluntown,Education,School Breakfast,3022
Voluntown,Education,Magnet Schools,6500
Voluntown,Education,Excess Cost- Student Based,22717
Voluntown,Education,Education Cost Sharing,2551592
Voluntown,Education,Public School Transportation,46776
Voluntown,Education,Youth Service Bureaus,17259
Voluntown,Education,Adult Education,7819
Voluntown,Public Health/Social Services,Healthy Foods Initiative,1768
Voluntown,Property Tax,Colleges &amp; Hospitals PILOT,60000
Voluntown,Property Tax,Elderly Circuit Breaker,15783.46
Voluntown,Property Tax,State Property PILOT,134122.86
Voluntown,Property Tax,Veterans' Exemption,2596.71
Voluntown,Property Tax,Disability Exemption,271.59
Voluntown,Property Tax,Pequot Grants,105783.87
Voluntown,Property Tax,Grants For Municipal Projects,1883
Voluntown,Capital Projects/Transportation,LoCIP,25203
Voluntown,Capital Projects/Transportation,Town Aid Road,172902.02
Voluntown,Capital Projects/Transportation,Urban Action Grants,0
Vernon,Education,Child Nutrition State Match,16722
Vernon,Education,School Construction,2555631
Vernon,Education,OPEN Choice,15000
Vernon,Education,School Breakfast,22988
Vernon,Education,Excess Cost- Student Based,1346908
Vernon,Education,Education Cost Sharing,19117622
Vernon,Education,Public School Transportation,149830
Vernon,Education,Youth Service Bureaus,29409
Vernon,Education,Adult Education,249988
Vernon,Education,Vocational Agriculture,168722
Vernon,Public Health/Social Services,Healthy Foods Initiative,34225
Vernon,Public Health/Social Services,Community Services,2574
Vernon,Property Tax,Colleges &amp; Hospitals PILOT,310248.8
Vernon,Property Tax,Elderly Circuit Breaker,142746.17
Vernon,Property Tax,State Property PILOT,197995.79
Vernon,Property Tax,Veterans' Exemption,21034.7
Vernon,Property Tax,Disability Exemption,3117.72
Vernon,Property Tax,Pequot Grants,177260.78
Vernon,Property Tax,Grants For Municipal Projects,142578
Vernon,Capital Projects/Transportation,LoCIP,217205
Vernon,Capital Projects/Transportation,Town Aid Road,403154.76
Vernon,Capital Projects/Transportation,Urban Action Grants,0
Vernon,Capital Projects/Transportation,Bus Operations,31441
Trumbull,Education,Child Nutrition State Match,21983
Trumbull,Education,School Construction,1373563.16
Trumbull,Education,OPEN Choice,182538
Trumbull,Education,Magnet Schools,146900
Trumbull,Education,Excess Cost- Student Based,653754
Trumbull,Education,Education Cost Sharing,3326117
Trumbull,Education,Public School Transportation,69938
Trumbull,Education,Nonpublic School Transportation,22504
Trumbull,Education,Youth Service Bureaus,33083
Trumbull,Education,Adult Education,14616
Trumbull,Education,Vocational Agriculture,537631
Trumbull,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),226000
Trumbull,Capital Projects/Transportation,LoCIP,248363
Trumbull,Capital Projects/Transportation,Town Aid Road,463812.77
Trumbull,Capital Projects/Transportation,Urban Action Grants,0
Trumbull,Property Tax,Elderly Circuit Breaker,246648.45
Trumbull,Property Tax,State Property PILOT,88414
Trumbull,Property Tax,Veterans' Exemption,35162.34
Trumbull,Property Tax,Disability Exemption,3390.87
Trumbull,Property Tax,Pequot Grants,47763.25
Trumbull,Property Tax,Grants For Municipal Projects,182836.61
Trumbull,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,71814
Torrington,Education,Child Nutrition State Match,20252
Torrington,Education,School Construction,2026468.1
Torrington,Education,School Breakfast,22657
Torrington,Education,Bilingual Education,20102
Torrington,Education,Excess Cost- Student Based,1436407
Torrington,Education,Education Cost Sharing,24302223
Torrington,Education,Public School Transportation,416637
Torrington,Education,Nonpublic School Transportation,43147
Torrington,Education,Youth Service Bureaus,46506
Torrington,Education,Adult Education,136680
Torrington,Education,Child Care Services,134579.25
Torrington,Public Health/Social Services,Healthy Foods Initiative,41450
