"Town","FIPS","Indicator","Measure Type","Variable","2005","2006","2007","2008","2009","2010","2011","2012"
"East Windsor","0900324800","Evaluated that are Eligible","Percent","Birth to Three Indicators",76.92,70,60,55,56.25,93.33,76.47,85.19
"East Windsor","0900324800","Evaluations","Number","Birth to Three Indicators",13,20,35,20,16,15,17,27
"East Windsor","0900324800","Evaluations","Percent","Birth to Three Indicators",12.26,19.05,28.23,15.15,14.04,12,13.18,20.45
"East Windsor","0900324800","IFSP Receiving Services","Percent","Birth to Three Indicators",90,100,95.24,100,87.5,92.31,100,100
"East Windsor","0900324800","Individualized Family Service Plans","Number","Birth to Three Indicators",10,12,21,11,8,13,12,23
"East Windsor","0900324800","Individualized Family Service Plans","Percent","Birth to Three Indicators",9.43,11.43,16.94,8.33,7.02,10.4,9.3,17.42
"East Windsor","0900324800","Referrals","Number","Birth to Three Indicators",16,23,36,21,18,16,17,27
"East Windsor","0900324800","Referrals","Percent","Birth to Three Indicators",15.09,21.9,29.03,15.91,15.79,12.8,13.18,20.45
"East Windsor","0900324800","Referred that are Evaluated","Percent","Birth to Three Indicators",81.25,86.96,97.22,95.24,88.89,93.75,100,100
"East Windsor","0900324800","Total Eligible","Number","Birth to Three Indicators",10,14,21,11,9,14,13,23
"East Windsor","0900324800","Total Eligible","Percent","Birth to Three Indicators",9.43,13.33,16.94,8.33,7.89,11.2,10.08,17.42
"East Windsor","0900324800","Total Served","Number","Birth to Three Indicators",9,12,20,11,7,12,12,23
"East Windsor","0900324800","Total Served","Percent","Birth to Three Indicators",8.49,11.43,16.13,8.33,6.14,9.6,9.3,17.42
"Easton","0900123890","Evaluations","Number","Birth to Three Indicators",16,14,17,15,14,12,8,8
"Easton","0900123890","Evaluations","Percent","Birth to Three Indicators",16.49,22.22,24.64,31.25,25,27.27,21.05,18.18
"Easton","0900123890","Referrals","Number","Birth to Three Indicators",17,15,20,15,14,12,9,10
"Easton","0900123890","Referrals","Percent","Birth to Three Indicators",17.53,23.81,28.99,31.25,25,27.27,23.68,22.73
"Easton","0900123890","Referred that are Evaluated","Percent","Birth to Three Indicators",94.12,93.33,85,100,100,100,88.89,80
"Ellington","0901325360","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",35.48,31.82,66.67,52,45,55.56,53.33,43.75
"Ellington","0901325360","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",93.55,95.45,95.83,92,90,100,100,100
"Ellington","0901325360","Evaluated that are Eligible","Percent","Birth to Three Indicators",75.61,68.75,75,65.79,66.67,69.23,71.43,64
"Ellington","0901325360","Evaluations","Number","Birth to Three Indicators",41,32,32,38,30,26,21,25
"Ellington","0901325360","Evaluations","Percent","Birth to Three Indicators",29.08,21.19,21.33,21.35,23.44,16.67,15.67,18.12
"Ellington","0901325360","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",11,7,16,13,9,10,8,7
"Ellington","0901325360","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",7.8,4.64,10.67,7.3,7.03,6.41,5.97,5.07
"Ellington","0901325360","IFSP Receiving Services","Percent","Birth to Three Indicators",100,95.24,95.65,100,100,100,93.33,100
"Ellington","0901325360","Individualized Family Service Plans","Number","Birth to Three Indicators",29,21,23,23,18,18,15,16
"Ellington","0901325360","Individualized Family Service Plans","Percent","Birth to Three Indicators",20.57,13.91,15.33,12.92,14.06,11.54,11.19,11.59
"Ellington","0901325360","Referrals","Number","Birth to Three Indicators",42,33,35,39,31,26,22,25
"Ellington","0901325360","Referrals","Percent","Birth to Three Indicators",29.79,21.85,23.33,21.91,24.22,16.67,16.42,18.12
"Ellington","0901325360","Referred that are Evaluated","Percent","Birth to Three Indicators",97.62,96.97,91.43,97.44,96.77,100,95.45,100
"Ellington","0901325360","Total Eligible","Number","Birth to Three Indicators",31,22,24,25,20,18,15,16
"Ellington","0901325360","Total Eligible","Percent","Birth to Three Indicators",21.99,14.57,16,14.04,15.62,11.54,11.19,11.59
"Ellington","0901325360","Total Served","Number","Birth to Three Indicators",29,20,22,23,18,18,14,16
"Ellington","0901325360","Total Served","Percent","Birth to Three Indicators",20.57,13.25,14.67,12.92,14.06,11.54,10.45,11.59
"Enfield","0900325990","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",46.77,50,42.5,62.26,51.56,41.82,48.33,52
"Enfield","0900325990","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",95.16,98.08,95,92.45,96.88,94.55,93.33,84
"Enfield","0900325990","Evaluated that are Eligible","Percent","Birth to Three Indicators",68.89,65.82,57.97,69.74,56.64,77.46,67.42,65.79
"Enfield","0900325990","Evaluations","Number","Birth to Three Indicators",90,79,69,76,113,71,89,76
"Enfield","0900325990","Evaluations","Percent","Birth to Three Indicators",19.74,17.63,15.83,19,25.51,17.84,20.55,19.49
"Enfield","0900325990","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",29,26,17,33,33,23,29,26
"Enfield","0900325990","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",6.36,5.8,3.9,8.25,7.45,5.78,6.7,6.67
"Enfield","0900325990","IFSP Receiving Services","Percent","Birth to Three Indicators",100,96.08,100,95.92,96.77,96.15,96.43,100
"Enfield","0900325990","Individualized Family Service Plans","Number","Birth to Three Indicators",59,51,38,49,62,52,56,42
"Enfield","0900325990","Individualized Family Service Plans","Percent","Birth to Three Indicators",12.94,11.38,8.72,12.25,14,13.07,12.93,10.77
"Enfield","0900325990","Referrals","Number","Birth to Three Indicators",96,87,72,83,118,77,96,79
"Enfield","0900325990","Referrals","Percent","Birth to Three Indicators",21.05,19.42,16.51,20.75,26.64,19.35,22.17,20.26
"Enfield","0900325990","Referred that are Evaluated","Percent","Birth to Three Indicators",93.75,90.8,95.83,91.57,95.76,92.21,92.71,96.2
"Enfield","0900325990","Total Eligible","Number","Birth to Three Indicators",62,52,40,53,64,55,60,50
"Enfield","0900325990","Total Eligible","Percent","Birth to Three Indicators",13.6,11.61,9.17,13.25,14.45,13.82,13.86,12.82
"Enfield","0900325990","Total Served","Number","Birth to Three Indicators",59,49,38,47,60,50,54,42
"Enfield","0900325990","Total Served","Percent","Birth to Three Indicators",12.94,10.94,8.72,11.75,13.54,12.56,12.47,10.77
"Fairfield","0900126620","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",44.3,53.33,53.45,50.75,42.59,52.73,52.27,53.97
"Fairfield","0900126620","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",92.41,98.67,96.55,98.51,94.44,87.27,93.18,87.3
"Fairfield","0900126620","Evaluated that are Eligible","Percent","Birth to Three Indicators",58.96,61.98,65.17,56.3,56.25,53.92,45.36,60.58
"Fairfield","0900126620","Evaluations","Number","Birth to Three Indicators",134,121,89,119,96,102,97,104
"Fairfield","0900126620","Evaluations","Percent","Birth to Three Indicators",19.2,17.77,14.59,19.9,16.41,19.81,19.21,21.94
"Fairfield","0900126620","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",35,40,31,34,23,29,23,34
"Fairfield","0900126620","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",5.01,5.87,5.08,5.69,3.93,5.63,4.55,7.17
"Fairfield","0900126620","IFSP Receiving Services","Percent","Birth to Three Indicators",100,98.65,94.64,98.48,98.04,100,92.68,98.18
"Fairfield","0900126620","Individualized Family Service Plans","Number","Birth to Three Indicators",73,74,56,66,51,48,41,55
"Fairfield","0900126620","Individualized Family Service Plans","Percent","Birth to Three Indicators",10.46,10.87,9.18,11.04,8.72,9.32,8.12,11.6
"Fairfield","0900126620","Referrals","Number","Birth to Three Indicators",146,124,97,126,98,103,100,107
"Fairfield","0900126620","Referrals","Percent","Birth to Three Indicators",20.92,18.21,15.9,21.07,16.75,20,19.8,22.57
"Fairfield","0900126620","Referred that are Evaluated","Percent","Birth to Three Indicators",91.78,97.58,91.75,94.44,97.96,99.03,97,97.2
"Fairfield","0900126620","Total Eligible","Number","Birth to Three Indicators",79,75,58,67,54,55,44,63
"Fairfield","0900126620","Total Eligible","Percent","Birth to Three Indicators",11.32,11.01,9.51,11.2,9.23,10.68,8.71,13.29
"Fairfield","0900126620","Total Served","Number","Birth to Three Indicators",73,73,53,65,50,48,38,54
"Fairfield","0900126620","Total Served","Percent","Birth to Three Indicators",10.46,10.72,8.69,10.87,8.55,9.32,7.52,11.39
"Farmington","0900327600","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",39.13,48.72,39.29,46.15,46.15,43.48,52.17,58.82
"Farmington","0900327600","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",86.96,100,89.29,100,80.77,95.65,91.3,88.24
"Farmington","0900327600","Evaluated that are Eligible","Percent","Birth to Three Indicators",63.89,76.47,58.33,54.17,76.47,65.71,60.53,50
"Farmington","0900327600","Evaluations","Number","Birth to Three Indicators",36,51,48,24,34,35,38,34
"Farmington","0900327600","Evaluations","Percent","Birth to Three Indicators",16.22,24.52,21.52,11.43,17.62,17.77,18.45,16.5
"Farmington","0900327600","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",9,19,11,6,12,10,12,10
"Farmington","0900327600","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",4.05,9.13,4.93,2.86,6.22,5.08,5.83,4.85
"Farmington","0900327600","IFSP Receiving Services","Percent","Birth to Three Indicators",100,92.31,96,100,100,95.45,100,100
"Farmington","0900327600","Individualized Family Service Plans","Number","Birth to Three Indicators",20,39,25,13,21,22,21,15
"Farmington","0900327600","Individualized Family Service Plans","Percent","Birth to Three Indicators",9.01,18.75,11.21,6.19,10.88,11.17,10.19,7.28
"Farmington","0900327600","Referrals","Number","Birth to Three Indicators",40,57,49,26,34,36,38,35
"Farmington","0900327600","Referrals","Percent","Birth to Three Indicators",18.02,27.4,21.97,12.38,17.62,18.27,18.45,16.99
"Farmington","0900327600","Referred that are Evaluated","Percent","Birth to Three Indicators",90,89.47,97.96,92.31,100,97.22,100,97.14
"Farmington","0900327600","Total Eligible","Number","Birth to Three Indicators",23,39,28,13,26,23,23,17
"Farmington","0900327600","Total Eligible","Percent","Birth to Three Indicators",10.36,18.75,12.56,6.19,13.47,11.68,11.17,8.25
"Farmington","0900327600","Total Served","Number","Birth to Three Indicators",20,36,24,13,21,21,21,15
"Farmington","0900327600","Total Served","Percent","Birth to Three Indicators",9.01,17.31,10.76,6.19,10.88,10.66,10.19,7.28
"Glastonbury","0900331240","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",38.24,62.07,48.78,44.12,48.15,30.43,41.67,41.94
"Glastonbury","0900331240","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",97.06,93.1,95.12,97.06,92.59,100,94.44,96.77
"Glastonbury","0900331240","Evaluated that are Eligible","Percent","Birth to Three Indicators",58.62,58,68.33,59.65,54,56.1,70.59,67.39
"Glastonbury","0900331240","Evaluations","Number","Birth to Three Indicators",58,50,60,57,50,41,51,46
"Glastonbury","0900331240","Evaluations","Percent","Birth to Three Indicators",17.79,15.29,19.93,18.69,17.73,16.27,20.73,19.91
"Glastonbury","0900331240","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",13,18,20,15,13,7,15,13
"Glastonbury","0900331240","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.99,5.5,6.64,4.92,4.61,2.78,6.1,5.63
"Glastonbury","0900331240","IFSP Receiving Services","Percent","Birth to Three Indicators",100,100,97.44,100,100,91.3,97.06,93.33
"Glastonbury","0900331240","Individualized Family Service Plans","Number","Birth to Three Indicators",33,27,39,33,25,23,34,30
"Glastonbury","0900331240","Individualized Family Service Plans","Percent","Birth to Three Indicators",10.12,8.26,12.96,10.82,8.87,9.13,13.82,12.99
"Glastonbury","0900331240","Referrals","Number","Birth to Three Indicators",61,54,62,58,50,42,53,48
"Glastonbury","0900331240","Referrals","Percent","Birth to Three Indicators",18.71,16.51,20.6,19.02,17.73,16.67,21.54,20.78
"Glastonbury","0900331240","Referred that are Evaluated","Percent","Birth to Three Indicators",95.08,92.59,96.77,98.28,100,97.62,96.23,95.83
"Glastonbury","0900331240","Total Eligible","Number","Birth to Three Indicators",34,29,41,34,27,23,36,31
"Glastonbury","0900331240","Total Eligible","Percent","Birth to Three Indicators",10.43,8.87,13.62,11.15,9.57,9.13,14.63,13.42
"Glastonbury","0900331240","Total Served","Number","Birth to Three Indicators",33,27,38,33,25,21,33,28
"Glastonbury","0900331240","Total Served","Percent","Birth to Three Indicators",10.12,8.26,12.62,10.82,8.87,8.33,13.41,12.12
"Granby","0900332640","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",88.89,91.67,100,100,100,90,100,91.67
"Granby","0900332640","Evaluated that are Eligible","Percent","Birth to Three Indicators",50,63.16,69.23,50,50,52.63,73.33,75
"Granby","0900332640","Evaluations","Number","Birth to Three Indicators",18,19,13,12,14,19,15,16
"Granby","0900332640","Evaluations","Percent","Birth to Three Indicators",17.65,19.39,14.94,11.43,15.91,27.54,18.99,20
"Granby","0900332640","IFSP Receiving Services","Percent","Birth to Three Indicators",100,100,100,100,100,100,90.91,100
"Granby","0900332640","Individualized Family Service Plans","Number","Birth to Three Indicators",8,11,9,6,7,9,11,11
"Granby","0900332640","Individualized Family Service Plans","Percent","Birth to Three Indicators",7.84,11.22,10.34,5.71,7.95,13.04,13.92,13.75
"Granby","0900332640","Referrals","Number","Birth to Three Indicators",20,19,13,13,15,19,16,17
"Granby","0900332640","Referrals","Percent","Birth to Three Indicators",19.61,19.39,14.94,12.38,17.05,27.54,20.25,21.25
"Granby","0900332640","Referred that are Evaluated","Percent","Birth to Three Indicators",90,100,100,92.31,93.33,100,93.75,94.12
"Granby","0900332640","Total Eligible","Number","Birth to Three Indicators",9,12,9,6,7,10,11,12
"Granby","0900332640","Total Eligible","Percent","Birth to Three Indicators",8.82,12.24,10.34,5.71,7.95,14.49,13.92,15
"Granby","0900332640","Total Served","Number","Birth to Three Indicators",8,11,9,6,7,9,10,11
"Granby","0900332640","Total Served","Percent","Birth to Three Indicators",7.84,11.22,10.34,5.71,7.95,13.04,12.66,13.75
"Greenwich","0900133620","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",21.52,22.99,23.68,26.67,27.38,25,31.88,33.33
"Greenwich","0900133620","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",98.73,95.4,98.68,94.67,97.62,94.44,98.55,91.67
"Greenwich","0900133620","Evaluated that are Eligible","Percent","Birth to Three Indicators",62.7,60,60.32,55.56,58.74,58.06,54.33,54.55
"Greenwich","0900133620","Evaluations","Number","Birth to Three Indicators",126,145,126,135,143,124,127,132
"Greenwich","0900133620","Evaluations","Percent","Birth to Three Indicators",18.86,21.67,20.86,21.5,24.07,20.03,19.69,19.35
"Greenwich","0900133620","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",17,20,18,20,23,18,22,24
"Greenwich","0900133620","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",2.54,2.99,2.98,3.18,3.87,2.91,3.41,3.52
"Greenwich","0900133620","IFSP Receiving Services","Percent","Birth to Three Indicators",100,98.8,100,97.18,95.12,95.59,97.06,96.97
"Greenwich","0900133620","Individualized Family Service Plans","Number","Birth to Three Indicators",78,83,75,71,82,68,68,66
"Greenwich","0900133620","Individualized Family Service Plans","Percent","Birth to Three Indicators",11.68,12.41,12.42,11.31,13.8,10.99,10.54,9.68
"Greenwich","0900133620","Referrals","Number","Birth to Three Indicators",134,150,130,142,151,134,130,138
"Greenwich","0900133620","Referrals","Percent","Birth to Three Indicators",20.06,22.42,21.52,22.61,25.42,21.65,20.16,20.23
"Greenwich","0900133620","Referred that are Evaluated","Percent","Birth to Three Indicators",94.03,96.67,96.92,95.07,94.7,92.54,97.69,95.65
"Greenwich","0900133620","Total Eligible","Number","Birth to Three Indicators",79,87,76,75,84,72,69,72
"Greenwich","0900133620","Total Eligible","Percent","Birth to Three Indicators",11.83,13,12.58,11.94,14.14,11.63,10.7,10.56
"Greenwich","0900133620","Total Served","Number","Birth to Three Indicators",78,82,75,69,78,65,66,64
"Greenwich","0900133620","Total Served","Percent","Birth to Three Indicators",11.68,12.26,12.42,10.99,13.13,10.5,10.23,9.38
"Griswold","0901133900","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,85.71,100,95,100,100,87.5,94.74
"Griswold","0901133900","Evaluated that are Eligible","Percent","Birth to Three Indicators",56.25,58.33,52.17,76.92,63.16,68.42,64,67.86
"Griswold","0901133900","Evaluations","Number","Birth to Three Indicators",16,24,23,26,19,19,25,28
"Griswold","0901133900","Evaluations","Percent","Birth to Three Indicators",13.91,17.39,18.11,19.12,15.32,16.1,21.19,25.23
"Griswold","0901133900","IFSP Receiving Services","Percent","Birth to Three Indicators",100,91.67,100,100,100,100,92.86,94.44
"Griswold","0901133900","Individualized Family Service Plans","Number","Birth to Three Indicators",9,12,12,19,12,13,14,18
"Griswold","0901133900","Individualized Family Service Plans","Percent","Birth to Three Indicators",7.83,8.7,9.45,13.97,9.68,11.02,11.86,16.22
"Griswold","0901133900","Referrals","Number","Birth to Three Indicators",20,26,25,27,21,23,25,29
"Griswold","0901133900","Referrals","Percent","Birth to Three Indicators",17.39,18.84,19.69,19.85,16.94,19.49,21.19,26.13
"Griswold","0901133900","Referred that are Evaluated","Percent","Birth to Three Indicators",80,92.31,92,96.3,90.48,82.61,100,96.55
"Griswold","0901133900","Total Eligible","Number","Birth to Three Indicators",9,14,12,20,12,13,16,19
"Griswold","0901133900","Total Eligible","Percent","Birth to Three Indicators",7.83,10.14,9.45,14.71,9.68,11.02,13.56,17.12
"Griswold","0901133900","Total Served","Number","Birth to Three Indicators",9,11,12,19,12,13,13,17
"Griswold","0901133900","Total Served","Percent","Birth to Three Indicators",7.83,7.97,9.45,13.97,9.68,11.02,11.02,15.32
"Groton","0901134250","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",44.93,33.33,42.86,46.99,40.62,55,36.84,42.86
"Groton","0901134250","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",97.1,88.33,93.51,92.77,95.31,93.33,93.42,94.51
"Groton","0901134250","Evaluated that are Eligible","Percent","Birth to Three Indicators",63.3,64.52,70.64,71.55,63.37,61.22,76,75.83
"Groton","0901134250","Evaluations","Number","Birth to Three Indicators",109,93,109,116,101,98,100,120
"Groton","0901134250","Evaluations","Percent","Birth to Three Indicators",16.67,14.58,17.27,17.96,17,16.58,16.89,19.32
"Groton","0901134250","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",31,20,33,39,26,33,28,39
"Groton","0901134250","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",4.74,3.13,5.23,6.04,4.38,5.58,4.73,6.28
"Groton","0901134250","IFSP Receiving Services","Percent","Birth to Three Indicators",97.01,92.45,95.83,94.81,95.08,92.86,92.96,94.19
"Groton","0901134250","Individualized Family Service Plans","Number","Birth to Three Indicators",67,53,72,77,61,56,71,86
"Groton","0901134250","Individualized Family Service Plans","Percent","Birth to Three Indicators",10.24,8.31,11.41,11.92,10.27,9.48,11.99,13.85
"Groton","0901134250","Referrals","Number","Birth to Three Indicators",121,101,119,119,112,109,106,125
"Groton","0901134250","Referrals","Percent","Birth to Three Indicators",18.5,15.83,18.86,18.42,18.86,18.44,17.91,20.13
"Groton","0901134250","Referred that are Evaluated","Percent","Birth to Three Indicators",90.08,92.08,91.6,97.48,90.18,89.91,94.34,96
"Groton","0901134250","Total Eligible","Number","Birth to Three Indicators",69,60,77,83,64,60,76,91
"Groton","0901134250","Total Eligible","Percent","Birth to Three Indicators",10.55,9.4,12.2,12.85,10.77,10.15,12.84,14.65
"Groton","0901134250","Total Served","Number","Birth to Three Indicators",65,49,69,73,58,52,66,81
"Groton","0901134250","Total Served","Percent","Birth to Three Indicators",9.94,7.68,10.94,11.3,9.76,8.8,11.15,13.04
"Guilford","0900934950","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",96,100,95.24,100,100,76.47,94.12,94.74
"Guilford","0900934950","Evaluated that are Eligible","Percent","Birth to Three Indicators",62.5,68.18,61.76,68,52,53.12,65.38,54.29
"Guilford","0900934950","Evaluations","Number","Birth to Three Indicators",40,44,34,25,25,32,26,35
"Guilford","0900934950","Evaluations","Percent","Birth to Three Indicators",20.1,24.72,20,17.61,16.67,20.92,22.81,26.92
"Guilford","0900934950","IFSP Receiving Services","Percent","Birth to Three Indicators",100,100,100,94.12,92.31,100,100,94.44
"Guilford","0900934950","Individualized Family Service Plans","Number","Birth to Three Indicators",24,30,20,17,13,13,16,18
"Guilford","0900934950","Individualized Family Service Plans","Percent","Birth to Three Indicators",12.06,16.85,11.76,11.97,8.67,8.5,14.04,13.85
"Guilford","0900934950","Referrals","Number","Birth to Three Indicators",40,47,37,28,25,32,29,37
"Guilford","0900934950","Referrals","Percent","Birth to Three Indicators",20.1,26.4,21.76,19.72,16.67,20.92,25.44,28.46
"Guilford","0900934950","Referred that are Evaluated","Percent","Birth to Three Indicators",100,93.62,91.89,89.29,100,100,89.66,94.59
"Guilford","0900934950","Total Eligible","Number","Birth to Three Indicators",25,30,21,17,13,17,17,19
"Guilford","0900934950","Total Eligible","Percent","Birth to Three Indicators",12.56,16.85,12.35,11.97,8.67,11.11,14.91,14.62
"Guilford","0900934950","Total Served","Number","Birth to Three Indicators",24,30,20,16,12,13,16,17
"Guilford","0900934950","Total Served","Percent","Birth to Three Indicators",12.06,16.85,11.76,11.27,8,8.5,14.04,13.08
"Haddam","0900735230","Evaluations","Number","Birth to Three Indicators",14,15,18,11,12,6,11,14
"Haddam","0900735230","Evaluations","Percent","Birth to Three Indicators",20.59,16.13,24,15.71,16.9,8.96,15.71,22.58
"Haddam","0900735230","Referrals","Number","Birth to Three Indicators",14,15,18,13,12,7,12,16
"Haddam","0900735230","Referrals","Percent","Birth to Three Indicators",20.59,16.13,24,18.57,16.9,10.45,17.14,25.81
"Haddam","0900735230","Referred that are Evaluated","Percent","Birth to Three Indicators",100,100,100,84.62,100,85.71,91.67,87.5
"Hamden","0900935650","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",36.92,41.82,48.33,43.08,52.17,45.95,54.1,41.54
"Hamden","0900935650","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",95.38,92.73,95,93.85,93.48,91.89,93.44,90.77
"Hamden","0900935650","Evaluated that are Eligible","Percent","Birth to Three Indicators",56.03,59.78,60.61,63.73,47.92,62.18,59.8,61.32
"Hamden","0900935650","Evaluations","Number","Birth to Three Indicators",116,92,99,102,96,119,102,106
"Hamden","0900935650","Evaluations","Percent","Birth to Three Indicators",17.39,13.86,14.67,15.67,15.09,19.07,16.01,17.29
"Hamden","0900935650","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",24,23,29,28,24,34,33,27
"Hamden","0900935650","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.6,3.46,4.3,4.3,3.77,5.45,5.18,4.4
"Hamden","0900935650","IFSP Receiving Services","Percent","Birth to Three Indicators",96.77,94.12,100,100,88.37,95.59,98.25,96.61
"Hamden","0900935650","Individualized Family Service Plans","Number","Birth to Three Indicators",62,51,57,61,43,68,57,59
"Hamden","0900935650","Individualized Family Service Plans","Percent","Birth to Three Indicators",9.3,7.68,8.44,9.37,6.76,10.9,8.95,9.62
"Hamden","0900935650","Referrals","Number","Birth to Three Indicators",121,97,108,109,101,124,106,113
"Hamden","0900935650","Referrals","Percent","Birth to Three Indicators",18.14,14.61,16,16.74,15.88,19.87,16.64,18.43
"Hamden","0900935650","Referred that are Evaluated","Percent","Birth to Three Indicators",95.87,94.85,91.67,93.58,95.05,95.97,96.23,93.81
"Hamden","0900935650","Total Eligible","Number","Birth to Three Indicators",65,55,60,65,46,74,61,65
"Hamden","0900935650","Total Eligible","Percent","Birth to Three Indicators",9.75,8.28,8.89,9.98,7.23,11.86,9.58,10.6
"Hamden","0900935650","Total Served","Number","Birth to Three Indicators",60,48,57,61,38,65,56,57
"Hamden","0900935650","Total Served","Percent","Birth to Three Indicators",9,7.23,8.44,9.37,5.97,10.42,8.79,9.3
"Hartford","0900337070","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",30.97,36.39,47.81,42.04,50,48.42,48.84,44.7
"Hartford","0900337070","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",90.3,93.11,95.62,95.54,95.51,95.25,94.35,92.72
"Hartford","0900337070","Evaluated that are Eligible","Percent","Birth to Three Indicators",67.85,70.6,71.05,68.11,66.95,70.38,74.14,75.12
"Hartford","0900337070","Evaluations","Number","Birth to Three Indicators",395,432,418,461,466,449,406,402
"Hartford","0900337070","Evaluations","Percent","Birth to Three Indicators",18.61,19.36,19.59,21.43,21.22,22.41,20.64,20.43
"Hartford","0900337070","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",83,111,142,132,156,153,147,135
"Hartford","0900337070","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.91,4.98,6.65,6.14,7.1,7.63,7.47,6.86
"Hartford","0900337070","IFSP Receiving Services","Percent","Birth to Three Indicators",94.21,93.66,93.66,95.33,96.31,97.01,96.48,97.5
"Hartford","0900337070","Individualized Family Service Plans","Number","Birth to Three Indicators",242,284,284,300,298,301,284,280
"Hartford","0900337070","Individualized Family Service Plans","Percent","Birth to Three Indicators",11.4,12.73,13.31,13.95,13.57,15.02,14.44,14.23
"Hartford","0900337070","Referrals","Number","Birth to Three Indicators",451,484,456,495,512,481,428,438
"Hartford","0900337070","Referrals","Percent","Birth to Three Indicators",21.24,21.69,21.37,23.01,23.32,24,21.76,22.26
"Hartford","0900337070","Referred that are Evaluated","Percent","Birth to Three Indicators",87.58,89.26,91.67,93.13,91.02,93.35,94.86,91.78
"Hartford","0900337070","Total Eligible","Number","Birth to Three Indicators",268,305,297,314,312,316,301,302
"Hartford","0900337070","Total Eligible","Percent","Birth to Three Indicators",12.62,13.67,13.92,14.6,14.21,15.77,15.3,15.35
"Hartford","0900337070","Total Served","Number","Birth to Three Indicators",228,266,266,286,287,292,274,273
"Hartford","0900337070","Total Served","Percent","Birth to Three Indicators",10.74,11.92,12.46,13.3,13.07,14.57,13.93,13.87
"Harwinton","0900537280","Evaluations","Number","Birth to Three Indicators",11,15,11,9,10,6,8,6
"Harwinton","0900537280","Evaluations","Percent","Birth to Three Indicators",19.64,28.85,25,17.31,38.46,18.18,22.86,17.65
"Harwinton","0900537280","Referrals","Number","Birth to Three Indicators",11,16,11,9,10,6,9,6
"Harwinton","0900537280","Referrals","Percent","Birth to Three Indicators",19.64,30.77,25,17.31,38.46,18.18,25.71,17.65
"Harwinton","0900537280","Referred that are Evaluated","Percent","Birth to Three Indicators",100,93.75,100,100,100,100,88.89,100
"Hebron","0901337910","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,96.43,100,100,91.67,88.89,90,90.91
"Hebron","0901337910","Evaluated that are Eligible","Percent","Birth to Three Indicators",60,77.78,40,53.85,60,64.29,83.33,68.75
"Hebron","0901337910","Evaluations","Number","Birth to Three Indicators",20,36,15,13,20,14,12,16
"Hebron","0901337910","Evaluations","Percent","Birth to Three Indicators",20.62,33.33,17.86,17.33,25.32,19.18,16.67,25.81
"Hebron","0901337910","IFSP Receiving Services","Percent","Birth to Three Indicators",100,96.3,100,100,100,100,100,100
"Hebron","0901337910","Individualized Family Service Plans","Number","Birth to Three Indicators",12,27,6,7,11,8,9,10
"Hebron","0901337910","Individualized Family Service Plans","Percent","Birth to Three Indicators",12.37,25,7.14,9.33,13.92,10.96,12.5,16.13
"Hebron","0901337910","Referrals","Number","Birth to Three Indicators",21,36,16,13,22,15,12,16
"Hebron","0901337910","Referrals","Percent","Birth to Three Indicators",21.65,33.33,19.05,17.33,27.85,20.55,16.67,25.81
"Hebron","0901337910","Referred that are Evaluated","Percent","Birth to Three Indicators",95.24,100,93.75,100,90.91,93.33,100,100
