"Town","FIPS","Indicator","Measure Type","Variable","Year","Value"
"Newington","0900352140","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",88.33
"Newington","0900352140","Total Eligible","Number","Birth to Three Indicators","2005",36
"Newington","0900352140","Total Eligible","Percent","Birth to Three Indicators","2005",12.54
"Newington","0900352140","Total Served","Number","Birth to Three Indicators","2005",35
"Newington","0900352140","Total Served","Percent","Birth to Three Indicators","2005",12.2
"Newtown","0900152980","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",96.77
"Newtown","0900152980","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",60.78
"Newtown","0900152980","Evaluations","Number","Birth to Three Indicators","2005",51
"Newtown","0900152980","Evaluations","Percent","Birth to Three Indicators","2005",18.48
"Newtown","0900152980","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",93.33
"Newtown","0900152980","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",30
"Newtown","0900152980","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",10.87
"Newtown","0900152980","Referrals","Number","Birth to Three Indicators","2005",53
"Newtown","0900152980","Referrals","Percent","Birth to Three Indicators","2005",19.2
"Newtown","0900152980","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",96.23
"Newtown","0900152980","Total Eligible","Number","Birth to Three Indicators","2005",31
"Newtown","0900152980","Total Eligible","Percent","Birth to Three Indicators","2005",11.23
"Newtown","0900152980","Total Served","Number","Birth to Three Indicators","2005",28
"Newtown","0900152980","Total Served","Percent","Birth to Three Indicators","2005",10.14
"North Branford","0900953890","Evaluations","Number","Birth to Three Indicators","2005",21
"North Branford","0900953890","Evaluations","Percent","Birth to Three Indicators","2005",16.28
"North Branford","0900953890","Referrals","Number","Birth to Three Indicators","2005",21
"North Branford","0900953890","Referrals","Percent","Birth to Three Indicators","2005",16.28
"North Branford","0900953890","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",100
"North Haven","0900954870","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"North Haven","0900954870","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",70.27
"North Haven","0900954870","Evaluations","Number","Birth to Three Indicators","2005",37
"North Haven","0900954870","Evaluations","Percent","Birth to Three Indicators","2005",18.88
"North Haven","0900954870","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",96.15
"North Haven","0900954870","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",26
"North Haven","0900954870","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",13.27
"North Haven","0900954870","Referrals","Number","Birth to Three Indicators","2005",40
"North Haven","0900954870","Referrals","Percent","Birth to Three Indicators","2005",20.41
"North Haven","0900954870","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",92.5
"North Haven","0900954870","Total Eligible","Number","Birth to Three Indicators","2005",26
"North Haven","0900954870","Total Eligible","Percent","Birth to Three Indicators","2005",13.27
"North Haven","0900954870","Total Served","Number","Birth to Three Indicators","2005",25
"North Haven","0900954870","Total Served","Percent","Birth to Three Indicators","2005",12.76
"Norwalk","0900156060","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",37.63
"Norwalk","0900156060","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",96.77
"Norwalk","0900156060","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",51.1
"Norwalk","0900156060","Evaluations","Number","Birth to Three Indicators","2005",182
"Norwalk","0900156060","Evaluations","Percent","Birth to Three Indicators","2005",13.77
"Norwalk","0900156060","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",35
"Norwalk","0900156060","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",2.65
"Norwalk","0900156060","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",97.78
"Norwalk","0900156060","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",90
"Norwalk","0900156060","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",6.81
"Norwalk","0900156060","Referrals","Number","Birth to Three Indicators","2005",203
"Norwalk","0900156060","Referrals","Percent","Birth to Three Indicators","2005",15.36
"Norwalk","0900156060","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",89.66
"Norwalk","0900156060","Total Eligible","Number","Birth to Three Indicators","2005",93
"Norwalk","0900156060","Total Eligible","Percent","Birth to Three Indicators","2005",7.03
"Norwalk","0900156060","Total Served","Number","Birth to Three Indicators","2005",88
"Norwalk","0900156060","Total Served","Percent","Birth to Three Indicators","2005",6.66
"Norwich","0901156270","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",54
"Norwich","0901156270","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",92
"Norwich","0901156270","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",64.1
"Norwich","0901156270","Evaluations","Number","Birth to Three Indicators","2005",78
"Norwich","0901156270","Evaluations","Percent","Birth to Three Indicators","2005",16.05
"Norwich","0901156270","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",27
"Norwich","0901156270","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",5.56
"Norwich","0901156270","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",95.65
"Norwich","0901156270","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",46
"Norwich","0901156270","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",9.47
"Norwich","0901156270","Referrals","Number","Birth to Three Indicators","2005",86
"Norwich","0901156270","Referrals","Percent","Birth to Three Indicators","2005",17.7
"Norwich","0901156270","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",90.7
"Norwich","0901156270","Total Eligible","Number","Birth to Three Indicators","2005",50
"Norwich","0901156270","Total Eligible","Percent","Birth to Three Indicators","2005",10.29
"Norwich","0901156270","Total Served","Number","Birth to Three Indicators","2005",44
"Norwich","0901156270","Total Served","Percent","Birth to Three Indicators","2005",9.05
"Old Saybrook","0900757320","Evaluations","Number","Birth to Three Indicators","2005",8
"Old Saybrook","0900757320","Evaluations","Percent","Birth to Three Indicators","2005",10.96
"Old Saybrook","0900757320","Referrals","Number","Birth to Three Indicators","2005",8
"Old Saybrook","0900757320","Referrals","Percent","Birth to Three Indicators","2005",10.96
"Old Saybrook","0900757320","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",100
"Orange","0900957600","Referrals","Number","Birth to Three Indicators","2005",15
"Orange","0900957600","Referrals","Percent","Birth to Three Indicators","2005",15.79
"Oxford","0900958300","Evaluations","Number","Birth to Three Indicators","2005",28
"Oxford","0900958300","Evaluations","Percent","Birth to Three Indicators","2005",20.74
"Oxford","0900958300","Referrals","Number","Birth to Three Indicators","2005",29
"Oxford","0900958300","Referrals","Percent","Birth to Three Indicators","2005",21.48
"Oxford","0900958300","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",96.55
"Plainfield","0901559980","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",66.67
"Plainfield","0901559980","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Plainfield","0901559980","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",55.56
"Plainfield","0901559980","Evaluations","Number","Birth to Three Indicators","2005",27
"Plainfield","0901559980","Evaluations","Percent","Birth to Three Indicators","2005",16.17
"Plainfield","0901559980","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",10
"Plainfield","0901559980","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",5.99
"Plainfield","0901559980","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",86.67
"Plainfield","0901559980","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",15
"Plainfield","0901559980","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",8.98
"Plainfield","0901559980","Referrals","Number","Birth to Three Indicators","2005",30
"Plainfield","0901559980","Referrals","Percent","Birth to Three Indicators","2005",17.96
"Plainfield","0901559980","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",90
"Plainfield","0901559980","Total Eligible","Number","Birth to Three Indicators","2005",15
"Plainfield","0901559980","Total Eligible","Percent","Birth to Three Indicators","2005",8.98
"Plainfield","0901559980","Total Served","Number","Birth to Three Indicators","2005",13
"Plainfield","0901559980","Total Served","Percent","Birth to Three Indicators","2005",7.78
"Plainville","0900360120","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",63.16
"Plainville","0900360120","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Plainville","0900360120","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",59.38
"Plainville","0900360120","Evaluations","Number","Birth to Three Indicators","2005",32
"Plainville","0900360120","Evaluations","Percent","Birth to Three Indicators","2005",20.38
"Plainville","0900360120","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",12
"Plainville","0900360120","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",7.64
"Plainville","0900360120","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Plainville","0900360120","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",19
"Plainville","0900360120","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",12.1
"Plainville","0900360120","Referrals","Number","Birth to Three Indicators","2005",34
"Plainville","0900360120","Referrals","Percent","Birth to Three Indicators","2005",21.66
"Plainville","0900360120","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",94.12
"Plainville","0900360120","Total Eligible","Number","Birth to Three Indicators","2005",19
"Plainville","0900360120","Total Eligible","Percent","Birth to Three Indicators","2005",12.1
"Plainville","0900360120","Total Served","Number","Birth to Three Indicators","2005",19
"Plainville","0900360120","Total Served","Percent","Birth to Three Indicators","2005",12.1
"Plymouth","0900560750","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Plymouth","0900560750","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",50
"Plymouth","0900560750","Evaluations","Number","Birth to Three Indicators","2005",14
"Plymouth","0900560750","Evaluations","Percent","Birth to Three Indicators","2005",11.67
"Plymouth","0900560750","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Plymouth","0900560750","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",7
"Plymouth","0900560750","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",5.83
"Plymouth","0900560750","Referrals","Number","Birth to Three Indicators","2005",15
"Plymouth","0900560750","Referrals","Percent","Birth to Three Indicators","2005",12.5
"Plymouth","0900560750","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",93.33
"Plymouth","0900560750","Total Eligible","Number","Birth to Three Indicators","2005",7
"Plymouth","0900560750","Total Eligible","Percent","Birth to Three Indicators","2005",5.83
"Plymouth","0900560750","Total Served","Number","Birth to Three Indicators","2005",7
"Plymouth","0900560750","Total Served","Percent","Birth to Three Indicators","2005",5.83
"Portland","0900761800","Evaluations","Number","Birth to Three Indicators","2005",16
"Portland","0900761800","Evaluations","Percent","Birth to Three Indicators","2005",15.38
"Portland","0900761800","Referrals","Number","Birth to Three Indicators","2005",17
"Portland","0900761800","Referrals","Percent","Birth to Three Indicators","2005",16.35
"Portland","0900761800","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",94.12
"Prospect","0900962290","Evaluations","Number","Birth to Three Indicators","2005",18
"Prospect","0900962290","Evaluations","Percent","Birth to Three Indicators","2005",17.65
"Prospect","0900962290","Referrals","Number","Birth to Three Indicators","2005",19
"Prospect","0900962290","Referrals","Percent","Birth to Three Indicators","2005",18.63
"Prospect","0900962290","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",94.74
"Putnam","0901562710","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Putnam","0901562710","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",66.67
"Putnam","0901562710","Evaluations","Number","Birth to Three Indicators","2005",18
"Putnam","0901562710","Evaluations","Percent","Birth to Three Indicators","2005",19.57
"Putnam","0901562710","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",83.33
"Putnam","0901562710","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",12
"Putnam","0901562710","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",13.04
"Putnam","0901562710","Referrals","Number","Birth to Three Indicators","2005",20
"Putnam","0901562710","Referrals","Percent","Birth to Three Indicators","2005",21.74
"Putnam","0901562710","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",90
"Putnam","0901562710","Total Eligible","Number","Birth to Three Indicators","2005",12
"Putnam","0901562710","Total Eligible","Percent","Birth to Three Indicators","2005",13.04
"Putnam","0901562710","Total Served","Number","Birth to Three Indicators","2005",10
"Putnam","0901562710","Total Served","Percent","Birth to Three Indicators","2005",10.87
"Redding","0900163480","Evaluations","Number","Birth to Three Indicators","2005",9
"Redding","0900163480","Evaluations","Percent","Birth to Three Indicators","2005",11.54
"Redding","0900163480","Referrals","Number","Birth to Three Indicators","2005",10
"Redding","0900163480","Referrals","Percent","Birth to Three Indicators","2005",12.82
"Redding","0900163480","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",90
"Ridgefield","0900163970","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",90.91
"Ridgefield","0900163970","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",51.16
"Ridgefield","0900163970","Evaluations","Number","Birth to Three Indicators","2005",43
"Ridgefield","0900163970","Evaluations","Percent","Birth to Three Indicators","2005",17.27
"Ridgefield","0900163970","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Ridgefield","0900163970","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",20
"Ridgefield","0900163970","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",8.03
"Ridgefield","0900163970","Referrals","Number","Birth to Three Indicators","2005",46
"Ridgefield","0900163970","Referrals","Percent","Birth to Three Indicators","2005",18.47
"Ridgefield","0900163970","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",93.48
"Ridgefield","0900163970","Total Eligible","Number","Birth to Three Indicators","2005",22
"Ridgefield","0900163970","Total Eligible","Percent","Birth to Three Indicators","2005",8.84
"Ridgefield","0900163970","Total Served","Number","Birth to Three Indicators","2005",20
"Ridgefield","0900163970","Total Served","Percent","Birth to Three Indicators","2005",8.03
"Rocky Hill","0900365370","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",47.06
"Rocky Hill","0900365370","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",94.12
"Rocky Hill","0900365370","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",62.96
"Rocky Hill","0900365370","Evaluations","Number","Birth to Three Indicators","2005",27
"Rocky Hill","0900365370","Evaluations","Percent","Birth to Three Indicators","2005",13.85
"Rocky Hill","0900365370","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",8
"Rocky Hill","0900365370","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",4.1
"Rocky Hill","0900365370","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Rocky Hill","0900365370","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",16
"Rocky Hill","0900365370","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",8.21
"Rocky Hill","0900365370","Referrals","Number","Birth to Three Indicators","2005",29
"Rocky Hill","0900365370","Referrals","Percent","Birth to Three Indicators","2005",14.87
"Rocky Hill","0900365370","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",93.1
"Rocky Hill","0900365370","Total Eligible","Number","Birth to Three Indicators","2005",17
"Rocky Hill","0900365370","Total Eligible","Percent","Birth to Three Indicators","2005",8.72
"Rocky Hill","0900365370","Total Served","Number","Birth to Three Indicators","2005",16
"Rocky Hill","0900365370","Total Served","Percent","Birth to Three Indicators","2005",8.21
"Seymour","0900967610","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",85.71
"Seymour","0900967610","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",45.16
"Seymour","0900967610","Evaluations","Number","Birth to Three Indicators","2005",31
"Seymour","0900967610","Evaluations","Percent","Birth to Three Indicators","2005",18.67
"Seymour","0900967610","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Seymour","0900967610","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",12
"Seymour","0900967610","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",7.23
"Seymour","0900967610","Referrals","Number","Birth to Three Indicators","2005",32
"Seymour","0900967610","Referrals","Percent","Birth to Three Indicators","2005",19.28
"Seymour","0900967610","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",96.88
"Seymour","0900967610","Total Eligible","Number","Birth to Three Indicators","2005",14
"Seymour","0900967610","Total Eligible","Percent","Birth to Three Indicators","2005",8.43
"Seymour","0900967610","Total Served","Number","Birth to Three Indicators","2005",12
"Seymour","0900967610","Total Served","Percent","Birth to Three Indicators","2005",7.23
"Shelton","0900168170","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",51.28
"Shelton","0900168170","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Shelton","0900168170","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",56.52
"Shelton","0900168170","Evaluations","Number","Birth to Three Indicators","2005",69
"Shelton","0900168170","Evaluations","Percent","Birth to Three Indicators","2005",19.77
"Shelton","0900168170","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",20
"Shelton","0900168170","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",5.73
"Shelton","0900168170","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Shelton","0900168170","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",39
"Shelton","0900168170","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",11.17
"Shelton","0900168170","Referrals","Number","Birth to Three Indicators","2005",74
"Shelton","0900168170","Referrals","Percent","Birth to Three Indicators","2005",21.2
"Shelton","0900168170","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",93.24
"Shelton","0900168170","Total Eligible","Number","Birth to Three Indicators","2005",39
"Shelton","0900168170","Total Eligible","Percent","Birth to Three Indicators","2005",11.17
"Shelton","0900168170","Total Served","Number","Birth to Three Indicators","2005",39
"Shelton","0900168170","Total Served","Percent","Birth to Three Indicators","2005",11.17
"Simsbury","0900368940","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Simsbury","0900368940","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",63.04
"Simsbury","0900368940","Evaluations","Number","Birth to Three Indicators","2005",46
"Simsbury","0900368940","Evaluations","Percent","Birth to Three Indicators","2005",23.47
"Simsbury","0900368940","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",86.21
"Simsbury","0900368940","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",29
"Simsbury","0900368940","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",14.8
"Simsbury","0900368940","Referrals","Number","Birth to Three Indicators","2005",51
"Simsbury","0900368940","Referrals","Percent","Birth to Three Indicators","2005",26.02
"Simsbury","0900368940","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",90.2
"Simsbury","0900368940","Total Eligible","Number","Birth to Three Indicators","2005",29
"Simsbury","0900368940","Total Eligible","Percent","Birth to Three Indicators","2005",14.8
"Simsbury","0900368940","Total Served","Number","Birth to Three Indicators","2005",25
"Simsbury","0900368940","Total Served","Percent","Birth to Three Indicators","2005",12.76
"Somers","0901369220","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Somers","0901369220","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",44.44
"Somers","0901369220","Evaluations","Number","Birth to Three Indicators","2005",18
"Somers","0901369220","Evaluations","Percent","Birth to Three Indicators","2005",18.37
"Somers","0901369220","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Somers","0901369220","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",8
"Somers","0901369220","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",8.16
"Somers","0901369220","Referrals","Number","Birth to Three Indicators","2005",19
"Somers","0901369220","Referrals","Percent","Birth to Three Indicators","2005",19.39
"Somers","0901369220","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",94.74
"Somers","0901369220","Total Eligible","Number","Birth to Three Indicators","2005",8
"Somers","0901369220","Total Eligible","Percent","Birth to Three Indicators","2005",8.16
"Somers","0901369220","Total Served","Number","Birth to Three Indicators","2005",8
"Somers","0901369220","Total Served","Percent","Birth to Three Indicators","2005",8.16
"South Windsor","0900371390","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",59.26
"South Windsor","0900371390","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",96.3
"South Windsor","0900371390","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",65.85
"South Windsor","0900371390","Evaluations","Number","Birth to Three Indicators","2005",41
"South Windsor","0900371390","Evaluations","Percent","Birth to Three Indicators","2005",19.52
"South Windsor","0900371390","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",16
"South Windsor","0900371390","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",7.62
"South Windsor","0900371390","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"South Windsor","0900371390","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",26
"South Windsor","0900371390","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",12.38
"South Windsor","0900371390","Referrals","Number","Birth to Three Indicators","2005",43
"South Windsor","0900371390","Referrals","Percent","Birth to Three Indicators","2005",20.48
"South Windsor","0900371390","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",95.35
"South Windsor","0900371390","Total Eligible","Number","Birth to Three Indicators","2005",27
"South Windsor","0900371390","Total Eligible","Percent","Birth to Three Indicators","2005",12.86
"South Windsor","0900371390","Total Served","Number","Birth to Three Indicators","2005",26
"South Windsor","0900371390","Total Served","Percent","Birth to Three Indicators","2005",12.38
"Southbury","0900969640","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Southbury","0900969640","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",50
"Southbury","0900969640","Evaluations","Number","Birth to Three Indicators","2005",26
"Southbury","0900969640","Evaluations","Percent","Birth to Three Indicators","2005",20
"Southbury","0900969640","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",92.31
"Southbury","0900969640","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",13
"Southbury","0900969640","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",10
"Southbury","0900969640","Referrals","Number","Birth to Three Indicators","2005",29
"Southbury","0900969640","Referrals","Percent","Birth to Three Indicators","2005",22.31
"Southbury","0900969640","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",89.66
"Southbury","0900969640","Total Eligible","Number","Birth to Three Indicators","2005",13
"Southbury","0900969640","Total Eligible","Percent","Birth to Three Indicators","2005",10
"Southbury","0900969640","Total Served","Number","Birth to Three Indicators","2005",12
"Southbury","0900969640","Total Served","Percent","Birth to Three Indicators","2005",9.23
"Southington","0900370550","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",51.02
"Southington","0900370550","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",97.96
"Southington","0900370550","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",64.47
"Southington","0900370550","Evaluations","Number","Birth to Three Indicators","2005",76
"Southington","0900370550","Evaluations","Percent","Birth to Three Indicators","2005",17.8
"Southington","0900370550","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",25
"Southington","0900370550","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",5.85
"Southington","0900370550","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Southington","0900370550","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",48
"Southington","0900370550","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",11.24
"Southington","0900370550","Referrals","Number","Birth to Three Indicators","2005",80
"Southington","0900370550","Referrals","Percent","Birth to Three Indicators","2005",18.74
"Southington","0900370550","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",95
"Southington","0900370550","Total Eligible","Number","Birth to Three Indicators","2005",49
"Southington","0900370550","Total Eligible","Percent","Birth to Three Indicators","2005",11.48
"Southington","0900370550","Total Served","Number","Birth to Three Indicators","2005",48
"Southington","0900370550","Total Served","Percent","Birth to Three Indicators","2005",11.24
"Stafford","0901372090","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Stafford","0901372090","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",50
"Stafford","0901372090","Evaluations","Number","Birth to Three Indicators","2005",20
"Stafford","0901372090","Evaluations","Percent","Birth to Three Indicators","2005",15.04
"Stafford","0901372090","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",90
"Stafford","0901372090","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",10
"Stafford","0901372090","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",7.52
"Stafford","0901372090","Referrals","Number","Birth to Three Indicators","2005",25
"Stafford","0901372090","Referrals","Percent","Birth to Three Indicators","2005",18.8
"Stafford","0901372090","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",80
"Stafford","0901372090","Total Eligible","Number","Birth to Three Indicators","2005",10
"Stafford","0901372090","Total Eligible","Percent","Birth to Three Indicators","2005",7.52
"Stafford","0901372090","Total Served","Number","Birth to Three Indicators","2005",9
"Stafford","0901372090","Total Served","Percent","Birth to Three Indicators","2005",6.77
"Stamford","0900173070","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",27.92
"Stamford","0900173070","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",94.16
"Stamford","0900173070","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",61.35
"Stamford","0900173070","Evaluations","Number","Birth to Three Indicators","2005",251
"Stamford","0900173070","Evaluations","Percent","Birth to Three Indicators","2005",13.86
"Stamford","0900173070","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",43
"Stamford","0900173070","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",2.37
"Stamford","0900173070","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",97.93
"Stamford","0900173070","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",145
"Stamford","0900173070","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",8.01
"Stamford","0900173070","Referrals","Number","Birth to Three Indicators","2005",266
"Stamford","0900173070","Referrals","Percent","Birth to Three Indicators","2005",14.69
"Stamford","0900173070","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",94.36
"Stamford","0900173070","Total Eligible","Number","Birth to Three Indicators","2005",154
"Stamford","0900173070","Total Eligible","Percent","Birth to Three Indicators","2005",8.5
"Stamford","0900173070","Total Served","Number","Birth to Three Indicators","2005",142
"Stamford","0900173070","Total Served","Percent","Birth to Three Indicators","2005",7.84
"Stonington","0901173770","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",91.67
"Stonington","0901173770","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",50
"Stonington","0901173770","Evaluations","Number","Birth to Three Indicators","2005",24
"Stonington","0901173770","Evaluations","Percent","Birth to Three Indicators","2005",14.81
"Stonington","0901173770","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",81.82
"Stonington","0901173770","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",11
"Stonington","0901173770","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",6.79
"Stonington","0901173770","Referrals","Number","Birth to Three Indicators","2005",27
"Stonington","0901173770","Referrals","Percent","Birth to Three Indicators","2005",16.67
"Stonington","0901173770","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",88.89
"Stonington","0901173770","Total Eligible","Number","Birth to Three Indicators","2005",12
"Stonington","0901173770","Total Eligible","Percent","Birth to Three Indicators","2005",7.41
